year,iso3,elec,mobile,internet,fixedtel,mys,eys,tertiary,secondary
1990,AGO,,0.0,0.0,0.602,,3.755630016,0.594919979572296,9.64206981658936
1991,AGO,,0.0,0.00012933333333333332,0.599,,3.521440029,0.60505998134613,10.1731996536255
1992,AGO,,0.0,0.00025866666666666665,0.394,,3.488090038,0.573329985141754,11.4410495758057
1993,AGO,,0.008436702,0.000388,0.416,,3.568055034,0.5800499916076659,11.517121315002466
1994,AGO,,0.013549219,0.0005173333333333333,0.4,,3.648020029,0.5867699980735777,11.593193054199233
1995,AGO,,0.01433269,0.0006466666666666666,0.385,,3.727985024,0.5934900045394895,11.669264793396
1996,AGO,,0.02292929,0.000776,0.371,,3.80795002,0.6002100110054014,11.745336532592766
1997,AGO,,0.04742069,0.00567,0.425,,3.887915015,0.6069300174713131,11.821408271789533
1998,AGO,,0.063903735,0.0185,0.429,,3.967880011,0.613650023937225,11.8974800109863
1999,AGO,,0.151221568,0.072,0.429,3.387140553,4.39485838,0.554629981517792,11.7708902359009
2000,AGO,24.2,0.159346765941731,0.105045562462262,0.400744211021404,3.425745773,4.82183675,0.6309666633605959,13.3690700531006
2001,AGO,20.0,0.447835842249048,0.136013867429868,0.458583902463025,3.464791,5.248815119,0.7073033452034,15.0013399124146
2002,AGO,26.3,0.807954939660482,0.270376745595134,0.462842758291219,3.505191693,5.675793489,0.783640027046204,16.1495990753174
2003,AGO,27.4,1.95054401229801,0.370682065225727,0.473943184108171,3.545592386,6.102771858,2.87620997428894,17.257836023966483
2004,AGO,28.4,3.97840414704547,0.464814617985909,0.506870193220875,3.585993079,6.529750228,2.14597010612488,18.366072972615566
2005,AGO,29.4,8.35158651156351,1.143399954,0.501576862066518,3.626393772,6.956728597,2.6385600566864,19.47430992126465
2006,AGO,30.5,15.2614410221311,1.5,0.490450320477671,3.666794465,7.383706967,2.55977010726929,20.582546869913735
2007,AGO,37.5,23.8781501760396,1.700000048,0.453804284136904,3.707195158,7.810685337,3.33582436237669,21.690783818562817
2008,AGO,38.5,31.3891482115081,1.899999976,0.52967156664769,3.747595851,8.237663706,4.11187861748409,22.7990207672119
2009,AGO,33.8,36.1789120059347,2.299999952,1.35258563626765,3.787996544,8.664642076,4.88793287259149,24.3320198059082
2010,AGO,35.0,40.3667552771914,2.799999952,1.20680022279626,3.828397237,9.091620445,5.66398712769889,28.2108038778932
2011,AGO,34.6,49.8515258181069,4.699999809,0.658529531654342,3.86879793,10.07281971,6.44004138280629,29.6869517832747
2012,AGO,37.3,50.7801125088641,7.699999809,0.827508200411846,3.909198623,10.4918,7.831719292281456,34.63292117271482
2013,AGO,38.4,50.7734882643713,13.0,0.821497828065989,3.949599316,10.9107,9.22339720175662,39.57889056215494
2014,AGO,32.0,51.7384393645114,21.3623407584103,1.05820273350876,3.99000001,11.3297,9.003302941043916,44.52485995159506
2015,AGO,42.0,49.3097223014385,22.0,1.01188665392088,5.315629959,11.7487,8.78320868033121,49.470829341035184
2016,AGO,41.8,44.5502272379157,23.20000076,1.04338919791509,5.417390823,12.16763687,9.78287696232453,54.4167987304753
2017,AGO,42.9,44.0682088632918,26.0,0.532729808814262,5.521099768,12.1676,,54.16046983892286
2018,AGO,45.3,42.4588784507729,29.0,0.549117004405033,5.626794086,12.1676,,53.90414094737042
2019,AGO,45.6,45.8065312825399,32.12939835,0.385246533565739,5.734511785,12.1676,,53.64781205581798
2020,AGO,47.0,43.7804317055698,33.32089996,0.356233086521556,5.844291601,12.1676,,53.391483164265544
2021,AGO,48.2,44.3868689341257,34.55649948,0.347502343377004,5.956173009,12.1676,,53.1351542727131
2022,AGO,48.5,66.6008073123779,35.83800125,0.263757327095202,5.956173009,12.1676,,52.30952944869535
2023,AGO,51.1,70.0519587723571,37.88589859,0.235682235486534,5.956173009,12.1676,10.04935810264,51.4839046246776
2024,AGO,55.5,69.7039467163584,40.70479965,0.21186538541079,,,9.9549065722902,
