iso3,year,value
AGO,2024,55.5
AGO,2023,51.1
AGO,2022,48.5
AGO,2021,48.2
AGO,2020,47.0
AGO,2019,45.6
AGO,2018,45.3
AGO,2017,42.9
AGO,2016,41.8
AGO,2015,42.0
AGO,2014,32.0
AGO,2013,38.4
AGO,2012,37.3
AGO,2011,34.6
AGO,2010,35.0
AGO,2009,33.8
AGO,2008,38.5
AGO,2007,37.5
AGO,2006,30.5
AGO,2005,29.4
AGO,2004,28.4
AGO,2003,27.4
AGO,2002,26.3
AGO,2001,20.0
AGO,2000,24.2
BDI,2024,20.1
BDI,2023,11.6
BDI,2022,10.3
BDI,2021,10.2
BDI,2020,9.1
BDI,2019,9.8
BDI,2018,9.5
BDI,2017,9.3
BDI,2016,8.5
BDI,2015,7.9
BDI,2014,7.0
BDI,2013,6.9
BDI,2012,6.5
BDI,2011,6.2
BDI,2010,5.3
BDI,2009,5.4
BDI,2008,4.8
BDI,2007,4.7
BDI,2006,2.7
BDI,2005,3.2
BDI,2004,3.7
BDI,2003,3.4
BDI,2002,3.1
BDI,2001,2.8
BDI,2000,2.5
BDI,1999,2.07094931602478
BDI,1998,3.9
BEN,2024,59.0
BEN,2023,57.0
BEN,2022,56.5
BEN,2021,42.0
BEN,2020,41.0
BEN,2019,40.0
BEN,2018,39.0
BEN,2017,34.5
BEN,2016,37.0
BEN,2015,29.6
BEN,2014,34.1
BEN,2013,34.7
BEN,2012,38.4
BEN,2011,36.9
BEN,2010,34.2
BEN,2009,30.0
BEN,2008,29.0
BEN,2007,28.0
BEN,2006,27.9
BEN,2005,26.1
BEN,2004,25.2
BEN,2003,24.3
BEN,2002,23.4
BEN,2001,21.9
BEN,2000,21.5
BEN,1999,20.5620422363281
BEN,1998,19.578254699707
BEN,1997,18.5896263122559
BEN,1996,14.5
BFA,2024,34.0
BFA,2023,21.7
BFA,2022,19.5
BFA,2021,19.0
BFA,2020,18.5
BFA,2019,17.6
BFA,2018,14.4
BFA,2017,17.0
BFA,2016,16.6
BFA,2015,16.2
BFA,2014,19.2
BFA,2013,15.4
BFA,2012,15.1
BFA,2011,14.8
BFA,2010,13.1
BFA,2009,12.6
BFA,2008,12.5
BFA,2007,12.0
BFA,2006,11.6
BFA,2005,11.1
BFA,2004,10.7
BFA,2003,11.4
BFA,2002,9.9
BFA,2001,9.5
BFA,2000,9.1
BFA,1999,6.9
BFA,1998,8.10726451873779
BFA,1997,7.61713981628418
BFA,1996,7.1229362487793
BFA,1995,6.62533283233643
BFA,1994,6.12501001358032
BFA,1993,6.1
BWA,2024,80.2
BWA,2023,76.0
BWA,2022,75.9
BWA,2021,73.7
BWA,2020,71.8
BWA,2019,70.1
BWA,2018,68.3
BWA,2017,67.4
BWA,2016,64.2
BWA,2015,62.1
BWA,2014,60.0
BWA,2013,58.0
BWA,2012,56.0
BWA,2011,53.2
BWA,2010,52.0
BWA,2009,43.4
BWA,2008,44.5
BWA,2007,41.9
BWA,2006,39.7
BWA,2005,37.5
BWA,2004,35.3
BWA,2003,33.1
BWA,2002,27.0
BWA,2001,24.8
BWA,2000,26.5
BWA,1999,25.0527400970459
BWA,1998,22.8273296356201
BWA,1997,20.5970783233643
BWA,1996,18.3627471923828
BWA,1995,16.1250171661377
BWA,1994,13.8845663070679
BWA,1993,11.6420764923096
BWA,1992,9.39822673797607
BWA,1991,10.1
CAF,2024,18.2
CAF,2023,17.6
CAF,2022,15.7
CAF,2021,15.7
CAF,2020,15.4
CAF,2019,14.3
CAF,2018,14.6
CAF,2017,14.1
CAF,2016,13.4
CAF,2015,12.7
CAF,2014,12.0
CAF,2013,11.5
CAF,2012,11.0
CAF,2011,10.4
CAF,2010,9.8
CAF,2009,9.4
CAF,2008,7.5
CAF,2007,8.4
CAF,2006,7.8
CAF,2005,7.4
CAF,2004,7.0
CAF,2003,6.6
CAF,2002,6.1
CAF,2001,5.7
CAF,2000,6.0
CAF,1999,4.80779838562012
CAF,1998,4.32142543792725
CAF,1997,3.83021020889282
CAF,1996,3.33491563796997
CAF,1995,3.0
CIV,2024,72.9
CIV,2023,72.4
CIV,2022,70.4
CIV,2021,71.1
CIV,2020,69.9
CIV,2019,68.6
CIV,2018,67.1
CIV,2017,65.6
CIV,2016,64.3
CIV,2015,62.6
CIV,2014,61.9
CIV,2013,61.5
CIV,2012,55.8
CIV,2011,55.8
CIV,2010,58.4
CIV,2009,57.3
CIV,2008,60.3
CIV,2007,55.3
CIV,2006,60.2
CIV,2005,58.9
CIV,2004,52.4
CIV,2003,51.5
CIV,2002,51.4
CIV,2001,49.7
CIV,2000,48.7
CIV,1999,48.2
CIV,1998,46.6712455749512
CIV,1997,45.6617698669434
CIV,1996,44.6482124328613
CIV,1995,43.6312522888184
CIV,1994,36.5
CMR,2024,72.0
CMR,2023,72.0
CMR,2022,71.0
CMR,2021,65.4
CMR,2020,64.3
CMR,2019,63.2
CMR,2018,62.2
CMR,2017,60.9
CMR,2016,59.8
CMR,2015,58.6
CMR,2014,56.8
CMR,2013,56.3
CMR,2012,55.2
CMR,2011,53.7
CMR,2010,52.8
CMR,2009,51.7
CMR,2008,50.6
CMR,2007,48.2
CMR,2006,49.0
CMR,2005,47.2
CMR,2004,47.1
CMR,2003,45.1
CMR,2002,44.0
CMR,2001,46.2
CMR,2000,41.0
CMR,1999,40.7067756652832
CMR,1998,40.7
CMR,1997,38.435474395752
CMR,1996,37.2933235168457
CMR,1995,36.1477737426758
CMR,1994,34.9995040893555
CMR,1993,33.849193572998
CMR,1992,32.6975250244141
CMR,1991,29.0
COD,2024,22.5
COD,2023,22.1
COD,2022,21.5
COD,2021,20.8
COD,2020,20.1
COD,2019,19.1
COD,2018,18.7
COD,2017,18.0
COD,2016,17.3
COD,2015,16.6
COD,2014,13.5
COD,2013,15.2
COD,2012,15.4
COD,2011,13.7
COD,2010,13.0
COD,2009,12.3
COD,2008,11.6
COD,2007,15.2
COD,2006,10.2
COD,2005,6.0
COD,2004,9.0
COD,2003,8.3
COD,2002,7.7
COD,2001,7.1
COD,2000,6.7
COG,2024,53.0
COG,2023,51.3
COG,2022,50.6
COG,2021,49.7
COG,2020,48.7
COG,2019,47.7
COG,2018,47.0
COG,2017,46.2
COG,2016,45.3
COG,2015,44.3
COG,2014,43.4
COG,2013,42.5
COG,2012,41.6
COG,2011,40.8
COG,2010,40.0
COG,2009,37.1
COG,2008,36.8
COG,2007,35.8
COG,2006,34.9
COG,2005,33.8
COG,2004,33.0
COG,2003,32.1
COG,2002,31.2
COG,2001,30.3
COG,2000,29.4
COM,2024,91.7
COM,2023,89.8
COM,2022,89.9
COM,2021,87.9
COM,2020,85.6
COM,2019,83.3
COM,2018,81.0
COM,2017,78.7
COM,2016,76.4
COM,2015,74.1
COM,2014,71.8
COM,2013,69.4
COM,2012,69.3
COM,2011,69.3
COM,2010,69.7
COM,2009,60.1
COM,2008,57.8
COM,2007,55.5
COM,2006,53.2
COM,2005,51.0
COM,2004,48.7
COM,2003,46.5
COM,2002,44.8
COM,2001,42.0
COM,2000,39.8
COM,1999,37.421802520752
COM,1998,35.0945281982422
COM,1997,32.7624130249023
COM,1996,28.9
CPV,2024,98.4
CPV,2023,98.6
CPV,2022,97.1
CPV,2021,95.5
CPV,2020,93.7
CPV,2019,91.4
CPV,2018,90.2
CPV,2017,88.6
CPV,2016,87.5
CPV,2015,86.4
CPV,2014,85.3
CPV,2013,84.3
CPV,2012,83.2
CPV,2011,82.3
CPV,2010,81.1
CPV,2009,74.1
CPV,2008,72.3
CPV,2007,70.5
CPV,2006,68.8
CPV,2005,67.0
CPV,2004,65.4
CPV,2003,63.7
CPV,2002,58.6
CPV,2001,60.3
CPV,2000,58.6
DJI,2024,69.2
DJI,2023,65.2
DJI,2022,65.0
DJI,2021,65.4
DJI,2020,64.5
DJI,2019,64.7
DJI,2018,62.4
DJI,2017,60.2
DJI,2016,59.8
DJI,2015,59.1
DJI,2014,58.9
DJI,2013,58.6
DJI,2012,54.6
DJI,2011,58.1
DJI,2010,57.9
DJI,2009,57.6
DJI,2008,57.4
DJI,2007,57.2
DJI,2006,55.5
DJI,2005,56.8
DJI,2004,56.6
DJI,2003,56.4
DJI,2002,49.7
DJI,2001,56.1
DJI,2000,56.0
DJI,1999,56.3451690673828
DJI,1998,56.3222541809082
DJI,1997,56.2944946289063
DJI,1996,62.0
ERI,2024,55.3
ERI,2023,54.4
ERI,2022,55.4
ERI,2021,52.5
ERI,2020,51.4
ERI,2019,50.3
ERI,2018,49.1
ERI,2017,48.0
ERI,2016,46.9
ERI,2015,45.8
ERI,2014,44.6
ERI,2013,43.5
ERI,2012,42.3
ERI,2011,41.2
ERI,2010,40.1
ERI,2009,38.9
ERI,2008,37.8
ERI,2007,36.7
ERI,2006,35.6
ERI,2005,34.5
ERI,2004,33.4
ERI,2003,32.4
ERI,2002,32.2
ERI,2001,30.3
ERI,2000,29.3
ERI,1999,28.0999355316162
ERI,1998,26.9896945953369
ERI,1997,25.8746109008789
ERI,1996,24.7554473876953
ERI,1995,22.9
ETH,2024,56.6
ETH,2023,55.4
ETH,2022,55.0
ETH,2021,54.2
ETH,2020,51.1
ETH,2019,48.0
ETH,2018,44.8
ETH,2017,44.3
ETH,2016,42.9
ETH,2015,29.0
ETH,2014,27.2
ETH,2013,30.8
ETH,2012,29.0
ETH,2011,23.0
ETH,2010,25.5
ETH,2009,23.7
ETH,2008,22.0
ETH,2007,20.3
ETH,2006,18.6
ETH,2005,14.0
ETH,2004,15.2
ETH,2003,13.5
ETH,2002,11.9
ETH,2001,10.2
ETH,2000,12.7
GAB,2024,95.1
GAB,2023,94.1
GAB,2022,93.5
GAB,2021,91.8
GAB,2020,91.1
GAB,2019,90.3
GAB,2018,89.6
GAB,2017,86.3
GAB,2016,88.1
GAB,2015,87.3
GAB,2014,87.1
GAB,2013,86.4
GAB,2012,89.3
GAB,2011,88.7
GAB,2010,89.3
GAB,2009,82.7
GAB,2008,82.0
GAB,2007,81.3
GAB,2006,80.5
GAB,2005,81.6
GAB,2004,79.2
GAB,2003,78.5
GAB,2002,77.8
GAB,2001,77.2
GAB,2000,73.6
GHA,2024,91.9
GHA,2023,89.5
GHA,2022,85.1
GHA,2021,86.3
GHA,2020,85.4
GHA,2019,83.5
GHA,2018,80.4
GHA,2017,79.0
GHA,2016,79.3
GHA,2015,74.0
GHA,2014,78.3
GHA,2013,70.7
GHA,2012,56.5
GHA,2011,64.1
GHA,2010,64.2
GHA,2009,61.1
GHA,2008,60.5
GHA,2007,56.9
GHA,2006,55.1
GHA,2005,41.2
GHA,2004,50.8
GHA,2003,48.3
GHA,2002,46.8
GHA,2001,44.8
GHA,2000,43.7
GHA,1999,40.7405395507813
GHA,1998,42.6
GHA,1997,36.6036949157715
GHA,1996,34.5287704467773
GHA,1995,32.4504508972168
GHA,1994,30.36940574646
GHA,1993,30.6
GIN,2024,53.8
GIN,2023,51.1
GIN,2022,47.7
GIN,2021,46.8
GIN,2020,44.7
GIN,2019,42.2
GIN,2018,45.0
GIN,2017,35.4
GIN,2016,33.5
GIN,2015,34.9
GIN,2014,33.5
GIN,2013,32.2
GIN,2012,26.2
GIN,2011,29.5
GIN,2010,28.1
GIN,2009,26.7
GIN,2008,25.4
GIN,2007,24.1
GIN,2006,22.8
GIN,2005,20.2
GIN,2004,20.2
GIN,2003,18.9
GIN,2002,17.7
GIN,2001,16.4
GIN,2000,15.2
GIN,1999,16.4
GMB,2024,69.0
GMB,2023,66.9
GMB,2022,65.4
GMB,2021,63.7
GMB,2020,62.2
GMB,2019,62.1
GMB,2018,60.3
GMB,2017,56.2
GMB,2016,56.4
GMB,2015,54.7
GMB,2014,53.0
GMB,2013,51.5
GMB,2012,49.9
GMB,2011,48.3
GMB,2010,46.8
