iso3,year,value
AGO,2016,0.03229
BDI,2018,0.21312
BDI,2012,0.10702
BDI,2010,0.13719
BDI,2009,0.14096
BDI,2008,0.15417
BDI,2007,0.20068
BFA,2024,0.10477
BFA,2023,0.09845
BFA,2021,0.25057
BFA,2020,0.25116
BFA,2019,0.17435
BFA,2017,0.61361
BFA,2014,0.19719
BFA,2009,0.17787
BFA,2008,0.16568
BFA,2007,0.09836
BFA,2005,0.15166
BFA,2004,0.21514
BFA,2003,0.24112
BFA,2002,0.30111
BFA,2001,0.16816
BFA,1997,0.18104
BFA,1996,0.15834
BWA,2013,0.561
BWA,2012,0.26759
BWA,2005,0.53286
CIV,2016,0.06975
COD,2015,0.40638
COD,2009,0.07822
COD,2008,0.08253
COD,2007,0.13609
COD,2006,0.06044
COD,2005,0.05799
COD,2004,0.26777
COG,2022,0.38339
CPV,2011,0.06622
ETH,2017,0.27437
ETH,2013,0.60474
ETH,2010,0.24137
ETH,2007,0.17089
ETH,2005,0.17917
GAB,2009,0.57924
GAB,2008,0.5109
GAB,2007,0.41633
GHA,2010,0.37655
GHA,2007,0.23157
GMB,2018,0.06933
GMB,2011,0.0848
GMB,2009,0.01086
GMB,2008,0.01261
KEN,2024,0.81069
KEN,2023,0.80427
KEN,2022,0.40651
KEN,2010,0.69222
KEN,2007,0.35521
LSO,2023,0.09453
LSO,2015,0.05101
LSO,2011,0.01255
LSO,2009,0.0291
LSO,2004,0.05532
LSO,2003,0.04295
LSO,2002,0.04185
MDG,2017,0.01275
MDG,2016,0.01264
MDG,2014,0.01321
MDG,2011,0.09067
MDG,2010,0.09903
MDG,2009,0.13054
MDG,2008,0.11764
MDG,2007,0.12091
MDG,2006,0.14119
MDG,2005,0.15096
MDG,2004,0.1926
MDG,2003,0.2907
MDG,2002,0.20173
MDG,2001,0.18175
MDG,2000,0.10032
MDG,1999,0.08342
MDG,1998,0.0938
MDG,1997,0.18325
MLI,2023,0.14743
MLI,2021,0.14596
MLI,2019,0.13306
MLI,2017,0.24505
MLI,2015,0.26458
MLI,2010,0.47271
MLI,2007,0.17325
MOZ,2015,0.30814
MOZ,2010,0.37595
MOZ,2008,0.13607
MOZ,2006,0.3977
MOZ,2002,0.35598
MRT,2018,0.01019
MUS,2024,0.26181
MUS,2023,0.23892
MUS,2022,0.30879
MUS,2021,0.36784
MUS,2020,0.40299
MUS,2019,0.35699
MUS,2018,0.33387
MUS,2017,0.35423
MUS,2012,0.17773
MUS,2005,0.35574
MUS,2004,0.36329
MUS,2003,0.32171
MUS,2002,0.36317
MUS,2001,0.35775
MUS,2000,0.28025
MUS,1999,0.30596
MUS,1998,0.25831
MUS,1997,0.27529
MWI,2019,0.17752
NAM,2022,0.64636
NAM,2014,0.34986
NAM,2010,0.13963
NGA,2019,0.28444
NGA,2007,0.13223
RWA,2023,0.78149
RWA,2019,0.75853
RWA,2016,0.64945
SDN,2005,0.225
SDN,2004,0.23825
SDN,2003,0.2808
SDN,2002,0.32247
SDN,2001,0.37483
SDN,2000,0.47277
SDN,1999,0.53007
SEN,2015,0.5772
SEN,2010,0.4343
SEN,2008,0.29374
SWZ,2015,0.27807
SYC,2016,0.2017
SYC,2005,0.28393
SYC,2004,0.32574
SYC,2003,0.38707
SYC,2002,0.3826
SYC,2001,0.39968
TCD,2016,0.23294
TGO,2024,0.22229
TGO,2014,0.19074
TGO,2012,0.15973
TGO,2010,0.16962
TZA,2013,0.51456
TZA,2010,0.37307
TZA,2007,0.33462
UGA,2023,0.4383
UGA,2014,0.14265
UGA,2010,0.3599
UGA,2009,0.25547
UGA,2008,0.32632
UGA,2007,0.38821
UGA,2006,0.30033
UGA,2005,0.21514
UGA,2004,0.26056
UGA,2003,0.25612
UGA,2002,0.36756
ZAF,2022,0.61479
ZAF,2021,0.6139
ZAF,2020,0.60296
ZAF,2019,0.61304
ZAF,2018,0.68586
ZAF,2017,0.76257
ZAF,2016,0.74992
ZAF,2015,0.73147
ZAF,2014,0.70987
ZAF,2013,0.6633
ZAF,2012,0.66934
ZAF,2011,0.66753
ZAF,2010,0.66284
ZAF,2009,0.74993
ZAF,2008,0.80567
ZAF,2007,0.79364
ZAF,2006,0.80291
ZAF,2005,0.77024
ZAF,2004,0.72681
ZAF,2003,0.6765
ZAF,2001,0.64224
ZAF,1997,0.52694
ZMB,2008,0.27819
ZMB,2005,0.02493
ZMB,2004,0.02223
ZMB,2003,0.00847
ZMB,2002,0.00544
ZMB,1997,0.00737
ZMB,1996,0.01104
