iso3,year,value
AGO,2024,0.21186538541079
AGO,2023,0.235682235486534
AGO,2022,0.263757327095202
AGO,2021,0.347502343377004
AGO,2020,0.356233086521556
AGO,2019,0.385246533565739
AGO,2018,0.549117004405033
AGO,2017,0.532729808814262
AGO,2016,1.04338919791509
AGO,2015,1.01188665392088
AGO,2014,1.05820273350876
AGO,2013,0.821497828065989
AGO,2012,0.827508200411846
AGO,2011,0.658529531654342
AGO,2010,1.20680022279626
AGO,2009,1.35258563626765
AGO,2008,0.52967156664769
AGO,2007,0.453804284136904
AGO,2006,0.490450320477671
AGO,2005,0.501576862066518
AGO,2004,0.506870193220875
AGO,2003,0.473943184108171
AGO,2002,0.462842758291219
AGO,2001,0.458583902463025
AGO,2000,0.400744211021404
AGO,1999,0.429
AGO,1998,0.429
AGO,1997,0.425
AGO,1996,0.371
AGO,1995,0.385
AGO,1994,0.4
AGO,1993,0.416
AGO,1992,0.394
AGO,1991,0.599
AGO,1990,0.602
AGO,1989,0.585690036
AGO,1988,0.58768962
AGO,1987,0.579761264
AGO,1986,0.465421298
AGO,1985,0.474895195
AGO,1984,0.47828473
AGO,1983,0.4946799
AGO,1982,0.550789793
AGO,1981,0.425188983
AGO,1980,0.432170483
AGO,1979,0.372985042
AGO,1978,0.321684494
AGO,1977,0.266244438
AGO,1976,0.261463812
AGO,1975,0.255946745
AGO,1974,0.220699
AGO,1973,0.220699
AGO,1972,0.220699
AGO,1971,0.220699
AGO,1970,0.215599449
AGO,1969,0.173293
AGO,1968,0.173293
AGO,1967,0.173293
AGO,1966,0.173293
AGO,1965,0.17431983
AGO,1964,0.122201
AGO,1963,0.122201
AGO,1962,0.122201
AGO,1961,0.122201
AGO,1960,0.124430766
BDI,2023,0.10492021228026
BDI,2022,0.111987773979876
BDI,2021,0.123219493360871
BDI,2020,0.145041989259601
BDI,2019,0.170831709550844
BDI,2018,0.209200328581959
BDI,2017,0.203436900841436
BDI,2016,0.173851907891231
BDI,2015,0.197092938000902
BDI,2014,0.200642883168508
BDI,2013,0.203585647791369
BDI,2012,0.172713252311482
BDI,2011,0.308809095883938
BDI,2010,0.372977218229
BDI,2009,0.34781215081598
BDI,2008,0.357539358898105
BDI,2007,0.349184513262518
BDI,2006,0.354533511782461
BDI,2005,0.366401798584714
BDI,2004,0.37950082728554
BDI,2003,0.339265618783857
BDI,2002,0.323616248923673
BDI,2001,0.309645308933108
BDI,2000,0.309109742304481
BDI,1999,0.3
BDI,1998,0.288
BDI,1997,0.261
BDI,1996,0.25
BDI,1995,0.284
BDI,1994,0.276
BDI,1993,0.274
BDI,1992,0.22
BDI,1991,0.179
BDI,1990,0.142
BDI,1989,0.142657839
BDI,1988,0.139344138
BDI,1987,0.137792161
BDI,1986,0.131522941
BDI,1985,0.107315567
BDI,1984,0.078682138
BDI,1983,0.051412185
BDI,1982,0.047802477
BDI,1981,0.04453606
BDI,1976,0.067869364
BDI,1975,0.072014749
BDI,1974,0.0574866
BDI,1973,0.0574866
BDI,1972,0.0574866
BDI,1971,0.0574866
BDI,1970,0.057178242
BDI,1969,0.0452433
BDI,1968,0.0452433
BDI,1967,0.0452433
BDI,1966,0.0452433
BDI,1965,0.044898648
BEN,2024,0.00933434116560615
BEN,2023,0.0101126536864698
BEN,2022,0.0110905184715638
BEN,2021,0.0856828651491264
BEN,2020,0.247785625419228
BEN,2019,0.282216480163247
BEN,2018,0.391719621520741
BEN,2017,0.471661442318713
BEN,2016,1.06757297628058
BEN,2015,1.71350643504558
BEN,2014,1.77390688162942
BEN,2013,1.48889225474968
BEN,2012,1.50721455804899
BEN,2011,1.51298498071505
BEN,2010,1.3618496340489
BEN,2009,1.33708427945628
BEN,2008,1.24927588182045
BEN,2007,1.23704917897303
BEN,2006,0.889679592492651
BEN,2005,0.905123387399978
BEN,2004,0.892121110505652
BEN,2003,0.840520809243442
BEN,2002,0.816488882832041
BEN,2001,0.796417103479695
BEN,2000,0.715130499130458
BEN,1999,0.623
BEN,1998,0.565
BEN,1997,0.554
BEN,1996,0.511
BEN,1995,0.453
BEN,1994,0.393
BEN,1993,0.348
BEN,1992,0.281
BEN,1991,0.276
