iso3,year,value
AGO,2024,40.70479965
AGO,2023,37.88589859
AGO,2022,35.83800125
AGO,2021,34.55649948
AGO,2020,33.32089996
AGO,2019,32.12939835
AGO,2018,29.0
AGO,2017,26.0
AGO,2016,23.20000076
AGO,2015,22.0
AGO,2014,21.3623407584103
AGO,2013,13.0
AGO,2012,7.699999809
AGO,2011,4.699999809
AGO,2010,2.799999952
AGO,2009,2.299999952
AGO,2008,1.899999976
AGO,2007,1.700000048
AGO,2006,1.5
AGO,2005,1.143399954
AGO,2004,0.464814617985909
AGO,2003,0.370682065225727
AGO,2002,0.270376745595134
AGO,2001,0.136013867429868
AGO,2000,0.105045562462262
AGO,1999,0.072
AGO,1998,0.0185
AGO,1997,0.00567
AGO,1996,0.000776
AGO,1990,0.0
BDI,2024,8.595999718
BDI,2023,7.172299862
BDI,2022,7.144800186
BDI,2021,6.777999878
BDI,2020,6.430099964
BDI,2019,6.072199821
BDI,2018,4.019499779
BDI,2017,2.6607485347534
BDI,2016,2.200000048
BDI,2015,2.0
BDI,2014,1.04239212643994
BDI,2013,1.2642181112
BDI,2012,1.220000029
BDI,2011,1.110000014
BDI,2010,1.0
BDI,2009,0.899999976
BDI,2008,0.81
BDI,2007,0.7
BDI,2006,0.657599986
BDI,2005,0.542100012
BDI,2004,0.349060461879596
BDI,2003,0.201273196735924
BDI,2002,0.118228412267794
BDI,2001,0.106001245363203
BDI,2000,0.077248447383456
BDI,1999,0.0392
BDI,1998,0.0158
BDI,1997,0.00798
BDI,1996,0.000804
BDI,1995,0.0
BDI,1994,0.0
BDI,1993,0.0
BDI,1992,0.0
BDI,1991,0.0
BDI,1990,0.0
BEN,2024,33.98379898
BEN,2023,32.39400101
BEN,2022,30.53730011
BEN,2021,28.20470047
BEN,2020,22.12059975
BEN,2019,20.50099945
BEN,2018,19.0
BEN,2017,18.7
BEN,2016,14.5
BEN,2015,11.25500011
BEN,2014,6.0
BEN,2013,4.900000095
BEN,2012,4.5
BEN,2011,4.14832306562512
BEN,2010,3.13
BEN,2009,2.24
BEN,2008,1.85
BEN,2007,1.79
BEN,2006,1.537899971
BEN,2005,1.271000028
BEN,2004,1.18254096518994
BEN,2003,0.951327114915695
BEN,2002,0.7029455951039
BEN,2001,0.363417890016082
BEN,2000,0.225247851473369
BEN,1999,0.155
BEN,1998,0.0479
BEN,1997,0.0246
BEN,1996,0.00169
BEN,1990,0.0
BFA,2024,28.25270081
BFA,2023,25.36120033
BFA,2022,25.3987999
BFA,2021,18.1522007
BFA,2020,12.97319984
BFA,2019,9.27180600953186
BFA,2018,8.498900414
BFA,2017,7.790400028
BFA,2016,7.140999794
BFA,2015,6.545700073
BFA,2014,6.0
BFA,2013,5.0
BFA,2012,3.724999905
BFA,2011,3.0
BFA,2010,2.400000095
BFA,2009,1.129999995
BFA,2008,0.920000017
BFA,2007,0.75
BFA,2006,0.632700026
BFA,2005,0.469900012
BFA,2004,0.400295285492178
BFA,2003,0.373440303233526
BFA,2002,0.200992597925001
BFA,2001,0.157732464653607
BFA,2000,0.0770801689426014
BFA,1999,0.0618
BFA,1998,0.0454
BFA,1997,0.0187
BFA,1996,0.000961
BFA,1990,0.0
BWA,2024,57.45950036
BWA,2022,57.9
BWA,2021,54.70069885
BWA,2020,51.67819977
BWA,2019,48.82279968
BWA,2018,46.12509918
BWA,2017,43.57640076
BWA,2016,41.16859818
BWA,2015,38.89379883
BWA,2014,36.74474744423
BWA,2013,30.0
BWA,2012,16.0
BWA,2011,9.0
BWA,2010,6.0
BWA,2009,6.150000095
BWA,2008,6.25
BWA,2007,5.28
BWA,2006,4.28993297515968
BWA,2005,3.262599945
BWA,2004,3.30488925316113
BWA,2003,3.3451901740614
BWA,2002,3.38592235064273
BWA,2001,3.43088678702599
BWA,2000,2.90266662177209
BWA,1999,1.12
BWA,1998,0.602
BWA,1997,0.308
BWA,1996,0.157
BWA,1995,0.0645
BWA,1991,0.0
BWA,1990,0.0
CAF,2024,13.78250027
CAF,2023,13.8416996
CAF,2022,13.75360012
CAF,2019,7.509200096
CAF,2018,5.099999905
CAF,2017,4.0
CAF,2016,3.099999905
CAF,2015,2.900000095
CAF,2014,2.700000048
CAF,2013,2.5
CAF,2012,2.400000095
CAF,2011,2.200000048
CAF,2010,2.0
CAF,2009,1.799999952
CAF,2008,1.0
CAF,2007,0.375815961044797
CAF,2006,0.311199993
CAF,2005,0.26820001
CAF,2004,0.223401395464406
CAF,2003,0.151563337940017
CAF,2002,0.128537116506299
CAF,2001,0.0785434278394038
CAF,2000,0.0533941742150456
CAF,1999,0.0409
CAF,1998,0.0279
CAF,1997,0.0143
CAF,1996,0.00585
CAF,1990,0.0
CIV,2024,41.43219902
CIV,2023,40.65284979
CIV,2022,38.41328122
CIV,2021,35.95069885
CIV,2020,36.01660156
CIV,2019,36.2889545655205
CIV,2018,37.5465361301281
CIV,2017,43.8399208514876
CIV,2016,41.2078149304414
CIV,2015,38.4400001654616
CIV,2014,10.0
CIV,2013,6.599999905
CIV,2012,4.400000095
CIV,2011,2.900000095
CIV,2010,2.700000048
CIV,2009,2.0
CIV,2008,1.899999976
CIV,2007,1.799999952
CIV,2006,1.52489996
CIV,2005,1.039199948
CIV,2004,0.849282414747704
CIV,2003,0.758669629452205
CIV,2002,0.497929360753307
CIV,2001,0.395747702246439
CIV,2000,0.231461670612799
CIV,1999,0.119
CIV,1998,0.061
CIV,1997,0.0188
CIV,1996,0.00841
CIV,1995,0.0002
CIV,1990,0.0
CMR,2024,46.25880051
CMR,2023,42.24380112
CMR,2022,40.12559891
CMR,2021,38.89260101
CMR,2020,37.69749832
CMR,2019,36.53919983
CMR,2018,29.70000076
CMR,2017,23.2029719748646
CMR,2016,20.60000038
CMR,2015,18.29999924
CMR,2014,16.2148722257524
CMR,2013,10.0
CMR,2012,7.5
CMR,2011,5.0
CMR,2010,4.300000191
CMR,2009,3.84
CMR,2008,3.400000095
CMR,2007,2.93
CMR,2006,2.028700113
CMR,2005,1.402699947
CMR,2004,0.976075415490902
CMR,2003,0.587622611130454
CMR,2002,0.360871584267755
CMR,2001,0.277051321848797
CMR,2000,0.252120077733662
CMR,1999,0.129
CMR,1998,0.0132
CMR,1997,0.00677
CMR,1990,0.0
COD,2024,19.67350006
COD,2023,18.96789932
COD,2022,17.99620056
COD,2021,16.1595993
COD,2020,14.51049995
COD,2019,13.02970028
COD,2018,11.69999981
COD,2016,10.1
COD,2015,3.799999952
COD,2014,3.0
COD,2013,2.200000048
COD,2012,1.679999948
COD,2011,1.200000048
COD,2010,0.72
COD,2009,0.560000002
COD,2008,0.439999998
COD,2007,0.370000005
COD,2006,0.296099991
COD,2005,0.238000005
COD,2004,0.196208375178039
COD,2003,0.134914837437335
COD,2002,0.0927907024606925
COD,2001,0.0114757819210493
COD,2000,0.0059021136806903
COD,1999,0.00101
COD,1998,0.000413
COD,1997,0.000211
COD,1996,0.000108
COD,1990,0.0
COG,2024,47.25159836
COG,2023,43.15039825
COG,2022,40.98669815
COG,2021,30.02739906
COG,2020,21.99850082
COG,2019,16.11639977
COG,2018,11.8071003
COG,2017,8.649999619
COG,2016,8.121899605
COG,2015,7.616000175
COG,2014,7.110000134
COG,2013,6.599999905
COG,2012,6.106699944
COG,2011,5.6
COG,2010,5.0
COG,2009,4.5
COG,2008,4.28750990276481
COG,2007,2.75970437370903
