iso3,year,value
AGO,2016,18.93579
AGO,2011,48.42677
BDI,2018,22.4816
BDI,2012,19.57969
BFA,2010,46.5781
BWA,2013,179.77334
BWA,2012,168.08972
CIV,2005,63.99303
COD,2015,10.10515
COG,2022,126.96941
COG,2000,33.11951
COG,1999,36.82931
COG,1998,41.31475
COG,1997,49.73577
COG,1996,50.92475
CPV,2014,124.92558
CPV,2011,48.91143
CPV,2002,129.37196
CPV,2001,98.50987
ETH,2017,89.03843
ETH,2013,43.9301
ETH,2010,41.46809
ETH,2007,19.72278
ETH,2005,20.82551
GHA,2015,87.47972
GHA,2010,37.36945
GHA,2007,16.80827
GMB,2018,50.8608
GMB,2011,29.97933
GMB,2009,97.05758
GMB,2008,86.52267
KEN,2024,384.02423
KEN,2023,200.85225
KEN,2022,168.60477
KEN,2010,226.90023
KEN,2007,56.1911
LSO,2023,32.23847
LSO,2015,23.73201
LSO,2011,5.93738
LSO,2009,23.20733
LSO,2004,10.10478
LSO,2003,7.53445
LSO,2002,6.0045
MDG,2018,32.94427
MDG,2017,29.61421
MDG,2016,23.87432
MDG,2011,49.14874
MDG,2010,50.26629
MDG,2009,43.80387
MDG,2008,45.1091
MDG,2007,46.80207
MDG,2006,46.24168
MDG,2005,46.56194
MDG,2004,46.25
MDG,2003,45.70833
MDG,2002,45.57217
MDG,2001,49.00259
MDG,2000,14.76191
MDG,1999,14.41915
MDG,1998,13.98026
MLI,2023,26.03785
MLI,2021,28.66941
MLI,2019,55.22467
MLI,2017,31.19803
MLI,2015,29.38677
MLI,2010,28.21129
MLI,2006,37.28082
MOZ,2015,44.41136
MOZ,2010,40.21198
MOZ,2009,12.3366
MOZ,2008,20.60081
MOZ,2006,16.40562
MUS,2024,688.52747
MUS,2023,852.67511
MUS,2022,578.6005
MUS,2021,564.33636
MUS,2020,558.19237
MUS,2019,543.55651
MUS,2018,465.4988
MUS,2012,176.93358
MWI,2019,25.16829
MWI,2010,50.11331
MWI,2007,30.31564
NAM,2022,224.81068
NAM,2014,148.91896
NER,2013,26.93895
NER,2005,7.47846
NER,2004,8.13744
NER,2003,7.95687
NER,2002,8.57341
NER,2001,9.30768
NGA,2019,22.12011
NGA,2007,37.55812
RWA,2023,133.11989
RWA,2019,58.74162
RWA,2016,13.73163
RWA,2013,15.33961
RWA,2009,12.40437
RWA,2008,10.72696
SEN,2015,572.42133
SEN,2010,374.80287
SEN,2008,380.18698
SEN,2007,281.68285
SEN,2006,264.90036
SWZ,2015,137.91577
SYC,2005,146.54162
TCD,2016,56.72121
TGO,2024,57.79402
TGO,2023,41.39064
TGO,2022,43.2285
TGO,2021,43.68693
TGO,2020,44.10873
TGO,2019,45.29645
TGO,2018,46.47372
TGO,2017,37.49789
TGO,2016,31.14208
TGO,2015,34.96857
TGO,2014,36.81025
TGO,2012,34.58561
TGO,2011,33.30328
TGO,2010,33.17308
TGO,2007,35.399
TGO,2006,22.97503
TGO,2005,32.23686
TGO,2004,24.36325
TGO,2003,25.90716
TZA,2013,19.31703
TZA,2010,36.24107
UGA,2023,81.30601
UGA,2014,28.67676
UGA,2010,39.56548
ZAF,2022,444.16298
ZAF,2021,454.79773
ZAF,2020,459.98774
ZAF,2019,479.86558
ZAF,2018,500.79079
ZAF,2017,516.53674
ZAF,2016,481.99586
ZAF,2015,466.56084
ZAF,2014,427.63838
ZAF,2013,430.44849
ZAF,2012,400.95517
ZAF,2011,381.96714
ZAF,2010,359.80904
ZAF,2009,384.84932
ZAF,2008,381.59248
ZAF,2007,384.41697
ZAF,2006,373.41244
ZAF,2005,351.38625
ZAF,2004,367.54743
ZAF,2003,292.80758
ZAF,2001,299.48395
ZAF,1997,188.02634
ZMB,2008,41.90146
ZMB,1999,55.79382
ZMB,1998,56.4222
ZMB,1997,54.29949
ZMB,1996,50.04499
ZWE,2012,95.1253
