outcome,spec,term,b,se,p,n
THE,full,INFRA,0.022318012731346183,0.10504244212323167,0.8337918086269129,804
THE,full,HCR,0.21959197262643876,0.17973440061928952,0.23533719643573653,804
THE,full,IX,0.034191684612927264,0.019345506374087145,0.09168727060499408,804
THE,full,GDP,0.8836481054133472,0.326929900781496,0.013324892053281297,804
THE,full,POP,2.4032932887426326,0.587315779377074,0.0005214704093112055,804
THE,full,URB,-0.3668863668385334,0.17206620303224815,0.04495588829994287,804
THE,full,ENERGY,0.17165550697965068,0.11173433966060559,0.13939998091049338,804
THE,full,TRADE,0.16926433403981525,0.11636817123656132,0.16057623645468558,804
THE,broad,INFRA,0.28880164767451333,0.06870932329278627,0.00033928627408446986,1077
THE,broad,HCR,-0.02119755027767209,0.10915488571104244,0.8477266515794157,1077
THE,broad,IX,0.006020303874425838,0.03353306362707261,0.8590911992490365,1077
THE,broad,GDP,0.8187938116465378,0.2736734910293461,0.006513515914668771,1077
THE,broad,POP,1.183239012782103,0.5667753853297773,0.04809699911201505,1077
THE,broad,URB,-0.5183855360362921,0.19797099500706758,0.01535983327785905,1077
THE,weighted,INFRA,0.030693129434277745,0.10384017134631711,0.7704533299232692,804
THE,weighted,HCR,0.18289735090279036,0.17873256990011283,0.31780945561677443,804
THE,weighted,IX,0.033034440546000784,0.022140815912975828,0.15056609677349359,804
THE,weighted,GDP,0.8491080979657032,0.3352931395330099,0.0193689865524597,804
THE,weighted,POP,2.447014279529563,0.5868715420341084,0.00043315280552106133,804
THE,weighted,URB,-0.32489804101951225,0.16763560119659396,0.0661697456040622,804
THE,weighted,ENERGY,0.13921255767560495,0.10795057775507967,0.21121392517946866,804
THE,weighted,TRADE,0.1569941000797961,0.09556391433811183,0.1153111630731527,804
THE,q25,INFRA,1.64357683472997,0.23221265696418653,1.4636040745736194e-12,1077
THE,q25,HCR,-0.8438153642381465,0.1717265274384924,8.936623162515209e-07,1077
THE,q25,IX,-0.05640371569698743,0.09970629300749305,0.5715986507509307,1077
THE,q25,GDP,1.156109503649617,0.17619512875628146,5.3258699692459015e-11,1077
THE,q25,POP,3.18420574200249,0.11119801482365738,2.432754955995545e-180,1077
THE,q25,URB,-1.1542770924343415,0.18235953976053768,2.456739879109736e-10,1077
THE,q50,INFRA,0.29972107443580853,0.12684946948096745,0.018137012000609652,1077
THE,q50,HCR,-0.2418741260626618,0.10143144433502743,0.017097377977472808,1077
